artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.patcog.2011.08.017	Interactive image segmentation by matching attributed relational graphs	Pattern Recognition	Noma, Alexandre ; Graciano, Ana B.V. ; Cesar Jr, Roberto M. ; Consularo, Luis A. ; BLOCH, Isabelle	A1	
artigoEmPeriodico	2012	http://dx.doi.org/10.1111/j.1537-2995.2011.03248.x	Number of recent sexual partners among blood donors in Brazil: associations with donor demographics, donation characteristics, and infectious disease markers	Transfusion (Arlington, Va.)	Patavino, Giuseppina Maria ; De Almeida-Neto, Cesar ; Liu, Jing ; Wright, David J. ; Mendrone-Junior, Alfredo ; Ferreira, Maria Inês Lopes ; de Freitas Carneiro, Anna Bárbara ; Custer, Brian ; Ferreira, João Eduardo ; Busch, Michael P. ; Sabino, Ester Cerdeira	B2	
artigoEmPeriodico	2012	http://dx.doi.org/10.1111/j.1537-2995.2011.03344.x	Human immunodeficiency virus prevalence, incidence, and residual risk of transmission by transfusions at Retrovirus Epidemiology Donor Study-II blood centers in Brazil	Transfusion (Arlington, Va.)	Sabino, Ester C. ; Gonçalez, Thelma T. ; Carneiro-Proietti, Anna Bárbara ; Sarr, Moussa ; Ferreira, João Eduardo ; Sampaio, Divaldo A. ; Salles, Nanci A. ; Wright, David J. ; Custer, Brian ; Busch, Michael ; FOR THE NHLBI RETROVIRUS EPIDEMIOLOGY DONOR STUDY-II (REDS-II), INTERNATIONAL COMPONENT	B2	
artigoEmPeriodico	2012	http://dx.doi.org/10.1016/j.patcog.2011.06.016	Modeling and measuring the spatial relation along : Regions, contours and fuzzy sets	Pattern Recognition	TAKEMURA, Celina Maki ; Cesar, Roberto M. ; BLOCH, Isabelle	A1	
artigoEmPeriodico	2012	http://dx.doi.org/10.1186/1471-2164-13-S6-S7	Assessing the Gain of Biological Data Integration in Gene Networks Inference	BMC Genomics	VICENTE, FÁBIO FR ; LOPES, FABRÍCIO M ; HASHIMOTO, RONALDO F ; Cesar, Roberto M	B1	
artigoEmPeriodico	2011	http://dx.doi.org/10.1186/1471-2164-12-s4-s13	A rigorous approach to facilitate and guarantee the correctness of the genetic testing management in human genome information systems	BMC Genomics	Araújo, Luciano V ; Malkowski, Simon ; Braghetto, Kelly R ; Passos-Bueno, Maria R ; Zatz, Mayana ; Pu, Calton ; FERREIRA, JOÃO E	B1	
artigoEmPeriodico	2011	http://dx.doi.org/10.1111/j.1537-2995.2010.02799.x	Demographic characteristics and prevalence of serologic markers among blood donors who use confidential unit exclusion (CUE) in São Paulo, Brazil: implications for modification of CUE polices in Brazil	Transfusion (Arlington, Va.)	De Almeida-Neto, Cesar ; Liu, Jing ; Wright, David J. ; Mendrone-Junior, Alfredo ; Takecian, Pedro L. ; Sun, Yu ; Ferreira, Joao Eduardo ; de Alencar Fischer Chamone, Dalton ; Busch, Michael P. ; Sabino, Ester Cerdeira ; FOR THE NHLBI RETROVIRUS EPIDEMIOLOGY DONOR STUDY-II (REDS-II), INTERNATIONAL COMPONENT	B2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1186/1753-6561-5-S2-S5	Constraint-based analysis of gene interactions using restricted boolean networks and time-series data	BMC Proceedings	Higa, Carlos HA ; Louzada, Vitor HP ; Andrade, Tales P ; Hashimoto, Ronaldo F	C	
artigoEmPeriodico	2011	http://dx.doi.org/10.1186/1752-0509-5-61	Inference of gene regulatory networks from time series by Tsallis entropy	BMC Systems Biology	Lopes, Fabrício ; de Oliveira, Evaldo A ; Cesar, Roberto M	B2	
artigoEmPeriodico	2011	http://dx.doi.org/10.1089/cmb.2010.0118	Gene Expression Complex Networks: Synthesis, Identification, and Analysis	Journal of Computational Biology	Lopes, Fabrício M. ; Cesar, Roberto M. ; Costa, Luciano Da F.	A1	
